pergunta,resposta
Qual destes NÃO é um dos estratagemas vencedores listados no antigo livro militar chinês os Trinta e seis estratagemas?,A estratégia de forte vazio
Quais destes Quadros do Avatar podem ser obtidos no evento Crise Ceroli?,Reino Submarino
Qual é o pico mais alto do mundo?,Monte Everest
Os 24 termos solares são um sistema de calendário tradicional chinês usado para que propósito?,Agricultura
Seondeok era a Rainha de Silla (parte da atual Coreia). Qual era o nome de nascimento dela?,Kim Deokman
A famosa escultura renascentista Pietà foi obra de qual artista?,Michelangelo
Qual dos seguintes comandantes é ruim colentado recursos?,Atiradora
A deficiência de qual vitamina pode causar cegueira noturna?,Vitamina A
Zhu Geliang não teve envolvimento em qual dos seguintes incidentes relatados no Romance dos Três Reinos?,Revolta dos Turbantes Amarelos
A Bastilha uma prisão que já foi localizada no centro de Paris França originalmente serviu para que propósito?,Fortaleza defensiva
Qual dessas mulheres NÃO é considerada uma das Quatro Belezas da China antiga?,Bao Si
Qual desses navegadores foi o primeiro europeu a chegar no Brasil?,Pedro Álvares Cabral
Na mitologia grega quem tirou a carruagem do sol de seu caminho incendiando a terra?,Faetonte
Que monarca construiu o Santa Sofia?,Justiniano I
A feijoada é considerada um prato nacional de qual país?,Brasil
Ferimentos de Perfuração é a habilidade de qual personagem na Crise Ceroli?,Astrid
Homem da Paz é o apelido de qual comandante?,Imhotep
Johannes Vermeer o pintor de Moça com Brinco de Pérola era de qual país?,Países Baixos
Qual é o maior lago de água doce do mundo por área?,Lago Superior
Qual é a capacidade padrão de transporte se sueu posto comercial estiver no nível 25?,5 milhões
De que país veio o infame pirata Barba Negra?,Inglaterra
Quem formou o Primeiro Triunvirato com César e Pompeu?,Crasso
Quantos dias tem um ano bissexto?,366 dias
As táticas de combate são uma importante tecnologia militar - que efeito elas têm?,Aumentam o Ataque de todas as unidades
[oi] dt e e,Aumentam o Ataque de todas as unidades
Qual é a maior espécie de ave viva do mundo?,Avestruz
Champanhe é uma província de qual país?,França
Quais dessas frutas aparece no plano de fundo do Comandante Imhotep?,Banana
Qual é a unidade especial da civilização chinesa?,Chu-Ko-Nu
Quais desses boots funcionam em Expedições em Rise of Kingdoms?,Todos
Qual é o nome da conquista obtida ao adquirir 3 temas permamentes da cidade?,Temas de tecnicolor
Qual tipo de tesouro de cristal é encontrado no Presente de Aliança de nível 26?,Tesouro de cristal azul
Quantos pontos são ganhos por 1 ponto de Poder aprimorado no segmento Estágio 4: Aprimoramento de Poder do evento O Governador Mais Poderoso?,2
Em qual dessas obras Sherlock Holmes faz sua primeira aparição?,Um Estudo em Vermelho
Qual desses tipos de terreno exerce uma pequena penalidade na defesa de tropas no mapa Colina do Tesouro nos Campeões de Olímpia?,Furacão
Qual desses itens NÃO PODE ser obtido no Baú de Pedra da Aliança?,Chaves de prata
Quando a Coca-Cola foi inventada?,Século 19
O que causou as mortes dos pais do Chefe Ceroli Dekar?,A descoberta dos estudos de bruxaria
Quantas esmeraldas aparecem nas roupas da comandante Matilda de Flanders?,5
Quais das seguintes acelerações NÃO estão disponíveis em Rise of Kingdoms?,Aceleração de 6 horas
Quanto custa uma única edição do Jornal do Reino?,1.000
Quantos créditos individuais podem ser obtidos com a venda de plantas de equipamentos normais por meio do recurso de recuperação da Loja da Aliança?,400
Quando não está afetado por buffs qual é a capacidade de recursos de um Armazém de Nível 25 para cada tipo de recurso?,2.500.000
Qual destes ingredientes é usado para preparar molho de soja?,Soja
Qual dessas figuras do Império Selêucida foi feita refém por Roma para posteriormente fugir de Roma e voltar para tomar o trono de seus país de origem?,Demétrio I
Que cor é usada nos telhados dos edifícios da civilização japonesa?,Preto
Qual dessas recompensas NÃO será recebida pelo primeiro colado na temporada do Desfiladeiro do Pôr do Sol?,Escutura Luz estelar deslumbrante
Qual destes NÃO é considerado um dos 8 estilos principais de culinária contemporânea chinesa?,Cozinha de Huaiyang
Qual é a condição de desbloqueio da dificuldade Pesadelo no evento Baladas de Ian?,Atingir o Nv. 23 da Prefeitura e 20 milhões de Poder
Quantas Coleções de Equipamentos do Reino Dourado existem no Baú de Ouro ganho na fase 16 do evento Reino Dourado?,3
Qual escutura famosa apresenta uma criança urinando?,Manneken Pis
Em que nível VIP você pode comprar um baú especial VIP que contém esculturas de Hannibal Barca suficientes para despertá-lo?,14
Qual destas Molduras de Avatar estão acessíveis para compra?,Pétalas de Rosa
Qual é o nome do vigarista que também pode aparecer ao mesmo tempo que o Chefe Ceroli Bargha Punho de Sangue?,Dhalruk
Quantos oficiais uma aliança pode ter sem contar o líder da aliança?,8
O foie gras é um alimento muito rico em nutrientes. Qual país produz mais foie gras?,França
Quantas seções são apresentadas no Jornal do Reino fora dos eventos de calendário?,5
Qual é o nome da quarta chave do evento Campeões de Olímpia?,Prata Brilhante
Qual é a cor das asas da decorações de Pégaso?,Douradas
Quais dois animais simbolicamente decorava a coroa dupla pschent usada pelos faraós?,Cobra e abustre
Quantas atualizações estão disponíveis por visita ao Mercador Misterioso?,5
Qual é a cor das pedras preciosas cravejadas na coroa do comandante El Cid?,Vermelho
Um dos benefícios dos alimentos enlatados é sua longa validade. Onde foram feitos os primeiros arenques enlatados?,Europa Setentrional
Qual país é notoriamente associado ao frango tandoori um prato de frango marinado com iogurte e especiarias?,Índias
Qual dessas estruturas permite que batedores e defensores da cidade fiquem de olho nos arredores?,Torre de Vigia
Qual desses Chefes Ceroli também é chamado de Portador da Tempestade?,Torgny
Qual dessas decorações NÃO custa Gemas?,Árvore de Sakura
Qual dos nomes científicos de pássaros também foi usado para homenagear a esposa de Napoleão III a Imperatriz da França Eugénie de Montijo?,Ptilinopus eugeniae
Qual é o número máximo de tropas que você pode formar no evento Campeões de Olímpia?,9
Qual é o número máximo de Leões Guardiães que podem ser construídos numa cidade?,6
Qual Chefe Ceroli usa um arco como arma?,Keira
Quais dessas esculturas de comandantes podem ser obtidas abrindo um baú na Taberna em Rise of Kingdoms?,Carlos Martel
Quem foi a primeira mulher a se tornar piloto militar no mundo?,Sabiha Gökçen
Qual dessas tecnologias pode ser pesquisada na Academia para acelerar a coleta de comida no mapa?,Foice
Qual foi o país de origem do arquiteto que projetou o Museu de Antiguidades Egípcias localizado no Cairo?,França
Qual é a capacidade de rali da aliança fornecida por um Forte de Nv. 15?,775.000
Que atributo de batedor NÃO PODE ser aumentado ao aprimorar um Acampamento dos Batedores ne Nv. 11?,Número de batedores
O que um Lanceiro Dragão carrega na mão esquerda?,Um cachimbo
Quantas bandeiras são apresentadas na frente do Centro de Alianças da civilização francesa?,6
Quantas pedras uma Pedreira de Nv. 17 produz por hora (sem boosts)?,2.775
No plano de fundo de qual comandate você pode ver uma Árvore de Sakura?,Minamoto no Yoshitsune
Quantos minutos de acelerações no total podem ser obtidos ao comprar o Suprimento de Aceleração de 7 dias além da recompensa imediata de 1.050 Gemas?,3.150 minutos
Qual é a Capacidade Hospitalar total de Nv. 25 para tropas gravemente feridas (sem boosts)?,300.000
Qual arma o comandante Richard I empunha?,Um machado e um escudo
Quantas rodas há em um aríete?,6
Qual desses Temas de Cidade oferece um bônus de atributo especial de +5% para Ataque de Cavalaria e -5% para Saúde de Arqueria?,Canção do Semeador
Em que clima o manjericão conhecido na Europa como o Rei das Ervas cresce vastamente?,Áreas Tropicais
Qual dessas civilizações pode aumentar a Defesa de Arqueria?,Coreia
Qual desses comandantes porta um arco e flechas além de uma espada?,AEthelflaed
Qual das seguintes recompensas NÃO PODE ser obtida de um Forte Bárbaro em Rise of Kingdoms?,Esculturas de Comandante
Qual Chefe Ceroli foi encarregado de proteger os Desfiladeiros Iravento?,Astrid
Quantas missões individuais uma Expedição envolve?,90
Quantas chaves estão incluídas no Presente da Aliança recebido pela destruição de um Forte Bárbaro de nível 5?,60
Qual desses infelizes indivíduos foi a única pessoa já registrada a sofrer tanto de nanismo quanto de gigantismo?,Adam Rainer
Qual desses comandantes também foi chamado de Santo Senhor?,El Cid
Qual país é responsável pela invenção do queijo gorgonzola famoso pelo seu sabor pungente?,França
Qual dessas opções NÃO é uma categoria de relatório enviado por mensagem?,Coleta
Qual das seguintes plantas é visível no plano de fundo de Mulan e Cao Cao na tela do comandante?,Bambu
Quais desses boosts funcionam em Desfiladeiro do Pôr do Sol?,Capacidade de tropas de nível VIP
O Bolo Floresta Negra é uma famosa sobremesa europeia. Em que país fica a Floresta Negra de onde deriva o nome?,Alemanha
Qual Chefe Ceroli tem poder sobre o gelo?,Frida
No Desfiladeiro do Pôr do Sol quantas tropas você pode enviar por vez?,5
Qual dessas opções NÃO é uma das habilidades da Chefe Ceroli Astrid?,Beijo da Língua Flamejante
Qual das seguintes condições NÃO era essencial para um Vizir o funcionário público mais importante do faraó no antigo Egito?,Ter sangue real
Qual desses comandantes é careca?,Ragnar Lodbrok
Qual decoração de criatura da mitologia grega os governandores podem construir em suas cidades?,Pégaso
Qual das seguintes ações NÃO está disponível para um líder de aliança em Rise of Kingdoms?,Sair da Aliança
Onde nasceu o Chefe Ceroli Torgny?,Cidadela dos Bravos
Qual pirâmide é amplamente considerada a única maravilha sobrevivente do mundo antigo preservada até hoje?,Pirâmide de Quéops
Quantas tropas são recomendadas para destruir um Forte Bárbaro de Nv. 3?,480.000 unidades de Nv. 3
Qual desses termos também foi usado pelos antigos egípcios para se referir a si mesmos?,O rebanho de Rá
Como se chama o Xamã do Fogo de Karaku?,Denko
Quantas experiência um comandante ganha com um Tomo do Conhecimento de nível 7?,50.000
Quantas chaves estão incluídas no presente da aliança do Baú de Madeira?,10
Qual desses comandantes usa um anel na mão?,Rainha Tamar da Geórgia
Qual comandante tem a habilidade Beleza e sabedoria?,Cleópatra VII
Qual tipo de tropa recebe um boost da decoração Lótus Oculto?,Cavalaria
Qual é o maior lago do continente sul-americano?,Lago Maracaibo
Que imagem está gravada na arma Martelo do Sol e da Lua?,O sol
Qual oficial da aliança recebe +1% de boost de saúde para tropas?,Enviado
Qual destes comandantes NÃO tem bigode ou outros pelos faciais?,Alexandre o Grande
Quando surgiu a clássica sobremesa inglesa pudim de caramelo?,Meados do século 20
Em RoK o Janízaro é uma unidade especial de qual civilização?,Império Otomano
Qual destas NÃO é uma habilidade passiva do Comandante Minamoto no Yoshitsune?,O Homem Digno
Qual tribo reivindica a posse da Floresta Takra que deve ser atravessada para chegar ao Reino de Karaku?,O clã Fúria de Sangue
Quantas Chaves de Ouro são concedidas ao Governandor com melhor classificação em cada temporada do Desfiladeiro do Pôr do Sol?,5
Qual é a cor das flores frescas do Liceu da Sabedoria da civilização francesa?,Vermelhas
Em que parte do Egito está localizada a Esfinge?,O Planalto de Gizé
Na hierarquia de necessidades simplificada de Maslow qual necessidade está no topo da pirâmide?,Autorrealização
Qual Chefe Ceroli mora em um lugar conhecido como Floresta da Morte?,Dekar
As pimentas são cultivadas há milênios. Elas surgiram em qual continente?,As Américas
Qual é o número mínimo de Chaves de Prata que pode ser obtido em um pacote Tesouro da Sabedoria?,2
Qual tribo de Chefe Ceroli viveu nos ermos congelados por várias gerações?,Wafura
Quantos pontos são ganhos por unidade de Nv. 3 gravemente ferida/morta no segmento Estágio 5: Eliminação do Inimigo do evento O Governador Mais Poderoso?,4
Qual desses deuses do antigo Egito também era um símbolo da autoridade real?,Hórus
Qual comandante tem uma coroa com pedras preciosas de cor diferente dos demais?,Rainha Tamar da Geórgia
Qual Chefe Ceroli trabalha ao lado de uma cobra?,Dekar
Que tipo de terreno no mapa pode ser atravessado livremente por nossas tropas?,Floresta
Qual faraó construiu a Pirâmide Curvada?,Seneferu
O trabalho em qual dessas catedrais começou em Copenhague no ano de 1877?,Igreja de São Paulo
Qual conquista é desbloqueada ao aprimorar 2 hospitais para o Nv. 25?,Disposto e Caloroso
Que letra é mostrada na decoração da Moeda da Sorte de Scolas?,L
Qual destes NÃO é um tipo de wagyu japonês?,Ronguhon Wagyu
Refeições prontas como o macarrão instantâneo são muito populares. Onde os primeiros macarrões instantâneos apareceram?,Japão
Qual privilégio é reservado para oficiais titulados (não oficiais normais)?,A habilidade de verificar o status on-line de membros da aliança
Quais das seguintes construções da cidade PODEM ser atualizadas?,Posto Comercial
Qual dessas recompensas NÃO será recebida pelo primeiro colocado na temporada do Desfiladeiro do Pôr do Sol?,Escultura Luz estelar deslumbrante
Qual Chefe Ceroli protege a Torre ... ?,Wafura
Qual Chefe Ceroli empunha uma adaga e um arco?,Wafura
Quais tipos de tropas receberão um boost do tema de cidade Festa de Páscoa?,Arqueria
De onde é o comandante Gaius Marius?,Roma Antiga
Qual divindade da mitologia epípcia antiga era representada pelo obelisco?,Rá
A escala de Scoville geramente é usada para avaliar a intensidade das pimentas em que um valor maior denota mais ardor. Qual dessas pimentas é avaliada acima de 1 milhão na escala de Scoville?,Pimenta da Alma
Qual destas é uma habilidade passiva do Comandante Tutemés III?,Conquista de Mitani
Qual função de comandante fornece um boost de carga para as tropas?,Capitão dos Suprmimentos
O estrategista militar Belisário serviu como guarda-costas pessoal de qual imperador em sua juventude?,Justiniano I
Qual é o nível VIP necessário para comprar uma Escultura de Comandante Lendário com um desconto semanal na Loja VIP?,Nv. 13
Qual a cor de tinta preferida pelas antigas famílias egípcias para as muralhas de suas casa?,Branco
Quantos ursos polares aparecem no quadro de avatar Coração do Norte?,3
Qual a capacidade de um Hospital de Nv. 15 (sem boosts)?,29.000
Quais desses itens podem ser selecionados do Baú de Recurso Nível 3 Escolha um?,150.000 de comida
Quais dessas plantas NÃO está disponível como construção decorativa?,Árvore de Pêssego
Qual destas construções decorativas também é considerada um presságio de boa sorte na cultura chinesa?,Dragão chinês
Adquirir o Comandante Guilherme I desbloqueia qual destas conquistas?,Caminho da Glória
Qual a quantidade total de contribuições diárias necessária para entrar na classificação de contribuições diárias da aliança?,10.000
Que ingedientes são usados para fazer zongzi um prato tradicional consumido na China durante o Festival do Barco do Dragão?,Arroz glutinoso
Qual é a segunda maior nação constituinte do Reino Unido?,Escócia
Após a abertura do Reino Perdido que item você precisa gastar para se teletransportar de e para o Reino Perdido?,Teletransporte Aleatório
A catedral de Notre-Dame de Paris foi construída em que estilo?,Gótico
Qual das seguintes NÃO é uma das habilidades de Keira?,Sangue Indisciplinado
Qual dos seguintes tipos de bônus NÃO tem efeito na Arca de Osíris?,Buffs de Runa
O ditado O Império no qual o Sol nunca se põe foi usado originalmente em referência ao império de qual país?,Espanha
Qual das seguintes personalidades nasceu no mesmo ano que o cantor Luciano Pavarotti?,Elvis Presley
Qual é o menor país insular do mundo?,Nauru
Qual das seguintes afirmações sobre a Batalha de Baideng é falsa?,Foi uma batalha entre a dinastia Tang e os Xiongnu
Em RoK qual construção você pode usar para ver a história do seu reino?,Monumento
Em RoK qual dos itens a seguir é considerado um item de Boost?,Escudo da Paz
Em RoK qual desses comandantes NÃO é bom em liderar unidades de arqueiros?,Saladino
Qual foi a primeira das três grandes batalhas travadas entre Alexandre o Grande e o Império Aquemênida?,Batalha do Grânico
Qual das seguintes montanhas tem menos de 8.000 metros de altura?,Chomo Lonzo
No Japão qual fruta é conhecida como fruta da imortalidade?,Tachibana
Qual era o nome do primeiro chimpanzé a ir para o espaço?,Ham
Depois que os alunos do Liceu da Sabedoria terminam suas aulas para qual prédio em sua cidade eles retornam?,Academia
Atualmente em qual galeria está a Mona Lisa?,Louvre
Qual das alternativas a seguir NÃO é uma descrição precisa do antigo Reino de Kush?,Não tinha linguagem e nem escrita próprios
Qual dos seguintes deuses é o patrono e protetor de Atenas na mitologia grega antiga?,Atenas
Bangkok é a capital de qual país?,Tailândia
Na mitologia quem foi atingido pela flecha de chumbo de Eros?,Dafne
Qual desses rios corre pela África?,O Nilo
Qual dos seguintes buffs são recebidos ao evoluir a estrutura necessária até o nível 25?,Bônus de velocidade de marcha de transporte
Qual é o maior país da América do Sul?,Brasil
Qual das seguintes cidades é a capital da França?,Paris
No estágio Coletar recursos do evento O Governador Mais Poderoso quantos pontos você ganha por coletar 1 Gema?,150
Qual das seguintes opções costuma ser disputada como fruta ou vegetal?,Tomate
Que medida oficial tornou um crime dar a Martinho Lutero comida e abrigo?,Édito de Worms
Machu Picchu é uma relíquia notável de qual civilização?,Os Incas
Qual das seguintes raças de gato é conhecida por não ter pelo?,Sphynx
O lendário comandante da Dinastia Joseon Yi Sun-sin sacrificou a vida em que batalha famosa?,Batalha de Noryang
Quantas teclas tem um piano moderno típico?,88
Onde Napoleão Bonaparte foi exiliado após sua derrota em Waterloo?,Santa Helena
Em RoK qual desses comandantes NÃO carrega arco e flecha?,Kusunoki Masashige
Em Crime e Castigo qual é o trabalho da primeira pessoa que Raskolnikov assassinou?,Penhorista
Leonardo da Vinci foi aprendiz na oficina de quem?,Andrea del Verrocchio
Quantos pontos existem em um tabuleiro Go padrão?,19x19
Junto com Henri Matisse qual desses artistas é considerado um dos fundadores do movimento fauvismo?,André Derain
Qual é o número da camisa de Luka Modric no Real Madrid?,10
Qual é o suposto local de nascimento da dança do ventre?,Egito
Qual desses prêmios Nobel foi concedido a Marie Curie em 1903?,Prêmio Nobel de Física
Durante o reinado de que imperador foi concluído o Coliseu Romano?,Tito
Albert Einstein recebeu o Prêmio Nobel de Física de 1921 por qual descoberta?,O efeito fotoelétrico
A Jornada das Telhas é considerada por alguns historiadores o marco do início da Revolução Francesa. Em qual cidade isso ocorreu?,Grenoble
Quem fundou o xogunato Kamakura?,Minamoto no Yoritomo
Em que nível a alíquota do imposto de transporte do Posto Comercial se torna 10%?,24
Na guerra civil romana de 49 AEC quem era o principal oponente de Júlio César?,Cneu Pompeu Magno
Qual é o símbolo químico do antimônio?,Sb
Qual desses personagem é de Vinte Mil Léguas Submarinas?,Capitão Nemo
Qual é o apelido de Júlio César no Rise of Kingdoms?,O Imperador Sem Coroa
Quem foi o primeiro astrônomo a calcular o limite de Roche?,Édouard Roche
Quantos envios você precisa concluir no Fórum Estadual para abrir uma Comenda de Envio?,15
Em RoK qual é o apelido da comandante Constânça?,Rainha da Sicília
Quem foi o pai de Aníbal?,Hamilcar Barca
Quem foi o pai de Anibal?,Hamilcar Barca
Quais sãos os dois corpos de água que o Canal de Suez conecta?,Mar Mediterrâneo Mar Vermelho
Qual é o bônus fornecido pelo tema da cidade lendária Fortaleza Congelada?,Defesa de Infantaria +10%
Em qual país está Çatalhöyük?,Turquia
Qual destas não é uma antiga civilização das Américas?,Os sumérios
No evento Acadêmico Incomparável quantas respostas você precisa acertar na Preliminar para se qualificar para o Intermediário?,6
Que bônus é concedido a uma aliança que captura o Local Sagrado de Nível 2 Altar da Chama?,Ataque de Tropas +3%
Em que ano o hipismo foi incluído pela primeira vez como esporte olímpico?,Jogos Olímpicos de Paris 1900
Qual escola de pintura é representada por Georges Seurat?,Pontilhismo
Que civilização se desenvolveu entre os rios Tigre e Eufrates?,Os Mesopotâmios
Quais dessas ações podem ser executadas por líderes de alianças e oficiais titulados mas NÃO por oficiais não titulados?,Inscrever-se na Arca de Osíris
Em que ano Alexandre Fleming descobriu a penicilina?,1928
Quais dos seguintes personagens NÃO estão presentes na história Jornada ao Oeste?,Terceira Irmã Hu
Em qual país o Grupo Carlsberg fabricante de cervejas foi fundado em 1847?,Dinamarca
Quais são as dimensões da névoa removida por um item do Mapa do Reino?,10x10
Na mitologia nórdica os corvos Huginn e Muninn eram companheiros de qual deus?,Odin
Com qual figura da mitologia grega Mary Shelley associou o monstro de Frankenstein?,Prometeu
Qual é o nome real da sinfonia Leningrado de Dmitri Shostakovich?,Sinfonia nº7 em dó maior
O poeta Fernando Pessoa ficou conhecido por escrever seus poemas como diferentes personagens que ele chamou de heterônimos. Qual destes NÃO é um dos heterônimos que Pessoa utilizou?,Francisco Norman
Quem é a consorte da divindade hindu Vishnu?,Lakshmi
Qual é o maior planeta conhecido em nosso sistema solar?,Júpiter
Para desbloquear a conquista Trilha de Huarong você deve usar Guan Yu para derrotar uma tropa liderada por qual dos seguintes comandantes?,Cao Cao
Qual dos seguintes comandantes da RoK foi o único governante na história a derrotar Ciro o Grande em uma grande batalha?,Tomyris
Qual dessas cidades está localizada na América do Sul?,Buenos Aires
Em 1970 uma missão Apolo tentou pousar na lua. Devido a um problema técnico só conseguiu orbitar a lua e retornar à Terra. Qual era o nome da missão?,Apollo 13
Qual destes comandantes do RoK é de Ceroli?,Keira
Qual das seguintes constelações tem a forma de uma coroa?,Coroa do Norte
Usando uma tropa liderada por Júlio César e Cleópatra VII qual das seguintes ações desbloqueará a conquista Desejos Imortais?,Atacar uma cidade
O Colosso de Rodes representa qual deus do sol?,Hélio
O Colosso de Rodes representa qual deus grego?,Hélio
A Marcha da Independência e o hino nacional de qual pais?,Turquia
Diego Velázquez o pintor da obra realista Retrato do Papa Inocêncio X era de qual país?,Espanha
O Lago General Carrera se origina nas geleiras dos Andes. Quais são os dois países que fazem fronteira com o lago?,Argentina e Chile
Quem era o deus grego e trácio do vinho?,Dioniso
Quem foi o pai do rei franco Pepino o Breve?,Carlos Martel
Onde nasceu o compositor Wolfgang Amadeus Mozart?,Salzburgo (Áustria)
A pintura de Sandro Botticelli Vênus e Marte é famosa por suas cores vivas e belas figuras. Em qual galeria esta pintura está alojada no momento?,Na National Gallery em Londres
Para qual formação é o armamento Tambor de Guerra Imperial?,V 
A decoração da cidade Portão de Ishtar é uma homenagem a qual das seguintes civilizações?,Babilônia
Em RoK qual comandante tem o apelido de Rainha da Sicília?,Constânça
Qual é o efeito do acessório Vingança?,Dano de Contra-ataque +8%
Na página VISUALIZAÇÃO DO COMANDANTE que buffs os comandantes que atuam como Guarda de Ferro recebem?,Saúde das Tropas +1%
Quem é o rei dos deuses na mitologia grega?,Zeus
As Dunas de Areia Cantantes em Dunhuang na China são conhecidas por fazer um som alto de bateria sempre que o vento sopra. De que deserto elas fazem parte?,Deserto de Kumtag
Qual é a maior cordilheira continental da Terra?,Os Andes
Qual filme ganhou Melhor Filme no primeiro Oscar?,Asas
A casa de leilões Sotheby's foi fundada em 1744 em qual cidade inglesa?,Londres
Qual novo método de construção de colunas na Roma antiga foi baseado nos três principais estilos gregos?,A coluna toscana
Qual dessas esculturas foi obra do antigo escultor grego Fídias?,Estátua de Zeus em Olímpia
Qual destes deuses NÃO é filho de Zeus na mitologia grega?,Hera
Qual é a capacidade de tropas reunidas padrão quando seu castelo está no nível 25?,2 milhões
A Porta dos Leões é a maior escultura pré-histórica sobrevivente no mar Egeu. Onde ela está localizada?,Micenas
Qual dessas habilidades ativas pertence a Carlos Martel?,Escudo de Francia
Qual o nível da sua Prefeitura para usar o Frenesi de Guerra?,10
Qual desses filósofos não era um defensor da escola de filosofia do cinismo?,Sócrates
Qual desses eventos marca o início do domínio romano sobre a Grécia?,Batalha de Corinto
Que antigo filosofo grego estabeleceu as primeiras ideias do atomismo?,Demócrito
Os Jogos Olímpicos da Antiguidade era realizados a cada 4 anos em Olímpia no sudoeste da Grécia. Em que ano se acredita que eles começaram?,776 AEC
Quem é o Deus da Guerra na mitologia grega antiga?,Ares
Quem escreveu a História da Guerra do Peloponeso um relato histórico da guerra titular?,Tucídides
Quem foi o autor da História da Guerra do Peloponeso?,Tucídides
Qual dessas peças NÃO foi escrita pelo antigo escritor de tragédias grego Eurípides?,Antígona
Qual é o nome do santuário mais íntimo de um antigo templo grego acessível apenas aos membros do sacerdócio?,Ádito
Qual destas não é uma das Três Górgonas do mito grego?,Perga
Quanto tempo dura o aumento de Expansão Básica do Exército?,4h
Na mitologia grega quem é o herói conhecido por roubar o fogo dos deuses e entregá-lo à humanidade?,Prometeu
Quem escreveu História dos Animais?,Aristóteles
Qual das seguintes escolas de filosofia NÃO visa alcançar a ataraxia?,Peripatética
Qual dessas cidades costuma ser considerada o berço da civilização ocidental e o berço da democracia?,Atenas
Qual matemático grego antigo usou o método da exaustão para calcular a área de um círculo?,Arquimedes
Segundo mitologia grega quais dois deuses se transformaram no peixe no signo de Peixes?,Afrodite e Eros
Que evento marcou o início do período helenístico?,A morte de Alexandre O Grande
Qual dos seguintes NÃO é um dos destinos da mitologia grega?,Urd
Quem é o Deus do Sono da mitologia grega antiga?,Hipnos
No épico homérico A ilíada qual das seguintes deusas NÃO fez parte da competição pelo Pomo da Discórdia?,Artemis
A ajuda da aliança NÃO pode acelerar quais das seguintes atividades?,Treinamento da tropa
Qual filósofo escreveu a Utopia?,Platão
Qual desses antigos dramaturgos gregos é considerado o pai da tragédia?,Èsquilo
Qual dessas opções NÃO é um detalhamento da tecnologia de aliança?,Militar
Qual dramaturgo grego antigo escreveu a famosa tragédia Èdipo Rei?,Sófocles
Qual destes NÃO foi um poeta grego?,Adônis
Qual filósofo criou o paradoxo da flecha?,Zenão de Eleia
Qual destas opções representa um dos quatro elementos fundamentais da natureza de acordo com muitos filósofos gregos antigos?,Vento
Na mitologia grega qual herói montou o cavalo voador Pégaso?,Belerofonte
Qual desses antigos filósofos gregos NÃO participou da discussão sobre justiça na República de Platão?,Protágonas
A quem foi dedicado o Partenon?,Atena
Conhece-te a ti mesmo era um aforismo amplamente conhecido de qual país?,Grécia Antiga
Na República o que Platão identifica como a forma mais elevada?,O Bom
Qual a cor da vela que Teseu usou em seu navio para indicar a seu pai Egeu que havia matado com sucesso o Minotauro?,Branco
Qual era o nome da criatura que atraía os marinheiros com sua voz celestial na mitologia grega?,Sereia
Qual das seguintes opções NÃO foi incluída nas Olímpiadas de Verão sediadas em Atenas em 1896?,Basquete
Qual era o nome do antigo deu grego do vinho?,Dioniso
Quem é a deusa grega da noite?,Nix
Qual dessas não é uma habilidade do general Ceroli Keira?,O Camaleão Vermelho
Qual capítulo das Crônicas do Reino concede a conquista Explorador Eterno caso toda a névoa seja explorada antes do fim do capítulo?,A Longa Paz
O período após a queda da civilização micênica e antes do nascimento das cidades-estado gregas é conhecido como Idade das Trevas grega. Qual dessas obras foi escrita nessa época?,A Odisseia
Qual poeta escreveu Teogonia que descreve as origens e a genealogia dos deuses gregos?,Hesíodo
O épico grego A Odisseia narra o retorno do herói Ulisses da guerra. Onde era sua terra natal?,Itaca
Na Grécia antiga quem era a alta sacerdotisa do Templo de Apolo em Delfos?,a Pítia
Qual desses antigos filósofos gregos NÃO participou da discussão sobre justiça na Republica de Platão?,Polemarco
Quem saiu vencedor da Batalha de Hastings?,Guilherme o Conquistador
Qual a montanha mais alta da África?,Monte Kilimajaro
Em que ano foi lançada a sonda Tianwen-1 Mars?,2020
Qual dos seguintes é o segundo maior delta de rio da Europa?,Delta do Danúbio
Na Tábua de Esmeralda Hermes Trismegisto afirma possuir três partes da sabedoria de todo o mundo. Qual destas NÃO é uma das três partes?,Transfiguração
Graças a grandes depósitos de bórax e pigmento de algas locais a Laguna Colorada é uma paisagem fantástica de vermelho e branco. Em que país ela está localizada?,Bolívia
A roteirista Marguerite Duras é conhecida por escrever o filme Hiroshima mon amour Onde ela nasceu?,Vietnã
Qual dessas pessoas não ganhou um Prêmio Nobel de Física em 2022?,Karl Barry Sharpless
Em Macbeth de Shakespeare o personagem principal mata o rei Duncan da Escócia. Qual é o nome do filho mais velho de Duncan?,Malcolm
De que nacionalidade era Miguel de Cervantes autor de Dom Quixote?,Espanhola
Ru é um dos tipos mais famosos de cerâmica chinesa conhecida por seu delicado esmalte azul claro. De qual dinastia ela se originou?,Song
Qual é o metal alcalino-terroso mais pesado?,Rádio
Para cada 1 unidade que você treina em sua cidade quantas unidades de expedição você recebe no modo Expedição?,1
Qual dos itens a seguir pode ser usado para aprimorar as habilidades de Comandante?,Esculturas de Comandante
No Japão os portões torii costumam ser colocados na entrada de quais construções?,Santuários
Qual dos seguintes NÃO é uma dança típica?,Sumô
Qual dos seguintes peixes atrai suas presas usando bioluminescência?,Peixe-pescador
Que planeta no sistema solar está mais perto do Sol?,Mercúrio
No RoK qual capítulo das Crônicas do Reino exige a exploração completa de todos os blocos de névoa do reino?,A Longa Paz ou Clareza Definitiva
